ocorrencia_id,viagem_id,tipo,gravidade,custo_ocorrencia,tempo_parado_horas
114,1196,Sinistro,Alta,17695.45,72.9
115,1203,Avaria,Baixa,1368.91,1.3
116,1207,Avaria,Média,4003.26,9.6
117,1213,Sinistro,Baixa,264.23,1.0
118,1227,Sinistro,Média,5096.26,10.2
119,1234,Avaria,Baixa,1020.83,2.5
120,1238,Atraso por Manutenção,Média,4263.65,10.0
121,1269,Atraso por Manutenção,Média,3793.07,9.4
122,1272,Avaria,Baixa,699.52,1.0
123,1279,Avaria,Baixa,347.32,2.6
124,1282,Atraso por Manutenção,Baixa,665.2,3.4
125,1288,Avaria,Baixa,361.73,1.7
126,1294,Atraso por Manutenção,Baixa,1320.76,2.6
127,1296,Avaria,Média,5358.65,20.6
128,1326,Avaria,Baixa,1034.6,5.3
129,1327,Avaria,Baixa,638.17,2.7
130,1329,Sinistro,Média,3260.29,8.5
131,1359,Sinistro,Baixa,716.01,2.9
132,1363,Atraso por Manutenção,Baixa,340.23,3.9
133,1373,Atraso por Manutenção,Média,4763.1,12.1
134,1375,Atraso por Manutenção,Média,3203.07,18.1
135,1391,Sinistro,Baixa,553.07,2.6
136,1395,Avaria,Média,5795.07,9.1
137,1396,Avaria,Baixa,1416.48,3.8
138,1401,Avaria,Baixa,771.17,5.1
139,1428,Avaria,Média,2672.49,21.6
140,1442,Atraso por Manutenção,Baixa,1209.3,3.6
141,1444,Atraso por Manutenção,Baixa,583.02,4.5
142,1446,Atraso por Manutenção,Baixa,752.32,2.4
143,1454,Sinistro,Média,3894.43,16.1
144,1462,Atraso por Manutenção,Baixa,1438.18,1.2
145,1477,Avaria,Baixa,551.91,4.7
146,1478,Avaria,Alta,13589.44,75.4
147,1495,Avaria,Alta,19777.14,88.4
148,1496,Atraso por Manutenção,Baixa,1096.1,4.5
149,1523,Avaria,Média,1574.49,17.5
150,1524,Atraso por Manutenção,Baixa,1025.71,3.8
151,1525,Atraso por Manutenção,Baixa,946.94,5.4
152,1548,Avaria,Média,5689.34,11.1
153,1561,Atraso por Manutenção,Baixa,1294.12,1.9
154,1563,Atraso por Manutenção,Baixa,1195.07,3.0
155,1568,Avaria,Baixa,404.35,3.0
156,1570,Atraso por Manutenção,Alta,14146.51,43.5
157,1573,Avaria,Baixa,765.13,5.6
158,1581,Atraso por Manutenção,Média,3220.19,15.0
159,1583,Atraso por Manutenção,Alta,13938.3,41.0
160,1584,Atraso por Manutenção,Baixa,536.45,3.0
161,1598,Avaria,Média,3827.27,6.2
162,1621,Sinistro,Baixa,1139.42,1.9
163,1636,Sinistro,Média,2480.74,18.7
164,1646,Sinistro,Baixa,1153.62,5.0
165,1687,Sinistro,Média,4847.49,17.9
166,1690,Avaria,Baixa,717.69,5.3
167,1719,Atraso por Manutenção,Alta,18307.47,79.2
168,1749,Avaria,Baixa,370.2,3.6
169,1757,Avaria,Baixa,786.75,5.5
170,1769,Sinistro,Média,4340.5,13.0
171,1771,Avaria,Baixa,384.77,3.9
172,1787,Avaria,Média,5993.79,23.0
173,1824,Avaria,Alta,9577.23,53.1
174,1827,Avaria,Média,2987.27,7.4
175,1830,Avaria,Baixa,1080.58,1.4
176,1836,Avaria,Alta,23931.62,89.3
177,1852,Avaria,Baixa,344.45,2.8
178,1854,Avaria,Alta,17674.72,75.2
179,1874,Atraso por Manutenção,Média,4611.74,21.8
180,1893,Avaria,Média,4545.32,9.7
181,1898,Avaria,Baixa,1435.76,2.3
182,1905,Avaria,Baixa,1185.74,5.0
183,1927,Avaria,Baixa,629.61,1.1
184,1932,Atraso por Manutenção,Baixa,406.87,2.2
185,1934,Sinistro,Média,4643.73,6.3
186,1935,Avaria,Média,2871.23,20.5
187,1939,Atraso por Manutenção,Média,4985.08,23.4
188,1975,Avaria,Média,4997.82,11.4
189,1991,Atraso por Manutenção,Baixa,1401.26,2.8
190,1992,Avaria,Baixa,775.11,2.2
191,1994,Avaria,Alta,24991.96,36.0
192,1997,Avaria,Média,5743.58,6.6
193,2001,Atraso por Manutenção,Média,5160.63,19.3
194,2016,Atraso por Manutenção,Média,5237.93,21.8
195,2050,Avaria,Média,3217.86,23.2
196,2051,Atraso por Manutenção,Baixa,1292.42,2.7
197,2063,Avaria,Baixa,1160.4,5.2
198,2076,Atraso por Manutenção,Média,5510.13,23.0
199,2093,Avaria,Alta,15340.36,29.7
200,2094,Atraso por Manutenção,Média,4895.06,17.5
201,2099,Avaria,Média,3914.04,19.8
202,2130,Avaria,Baixa,1011.16,5.5
203,2147,Avaria,Média,2346.96,23.9
204,2151,Atraso por Manutenção,Baixa,629.19,2.4
205,2184,Avaria,Baixa,1226.54,6.0
206,2185,Sinistro,Baixa,1079.27,5.1
207,2189,Avaria,Alta,15909.04,46.2
208,2230,Avaria,Baixa,534.1,4.9
209,2245,Avaria,Média,4157.0,8.7
210,2262,Avaria,Média,5328.6,12.1
211,2267,Atraso por Manutenção,Média,1672.32,19.6
212,2271,Avaria,Baixa,796.01,3.8
213,2278,Atraso por Manutenção,Baixa,989.95,1.7
214,2280,Avaria,Baixa,430.92,4.3
215,2289,Atraso por Manutenção,Média,3314.37,14.1
216,2293,Avaria,Baixa,442.28,3.1
217,2323,Avaria,Baixa,527.96,3.6
218,2332,Avaria,Baixa,1086.31,5.4
219,2335,Avaria,Baixa,1326.36,2.2
220,2360,Atraso por Manutenção,Média,5018.86,23.4
221,2371,Sinistro,Baixa,1422.28,2.6
222,2403,Avaria,Baixa,606.76,1.5
223,2404,Avaria,Média,5153.64,12.6
224,2418,Avaria,Alta,9600.73,42.7
225,2447,Atraso por Manutenção,Média,3556.96,22.8
226,2449,Atraso por Manutenção,Média,4691.06,23.3
227,2466,Avaria,Baixa,773.76,4.3
228,2467,Avaria,Baixa,233.17,3.1
229,2472,Avaria,Baixa,501.66,2.3
230,2473,Atraso por Manutenção,Baixa,1132.66,2.5
231,2491,Avaria,Baixa,419.68,2.3
232,2500,Atraso por Manutenção,Média,2636.86,10.9
233,2503,Atraso por Manutenção,Baixa,1024.08,1.9
234,2524,Avaria,Média,4947.64,13.3
235,2525,Sinistro,Baixa,809.42,5.7
236,2527,Avaria,Baixa,303.99,1.5
237,2529,Sinistro,Média,3811.11,19.9
238,2530,Atraso por Manutenção,Média,1907.32,17.2
239,2549,Avaria,Baixa,937.63,5.6
240,2551,Atraso por Manutenção,Baixa,1047.81,1.8
241,2556,Atraso por Manutenção,Média,5243.7,14.1
242,2563,Avaria,Média,3821.67,7.3
243,2565,Atraso por Manutenção,Média,1965.57,18.9
244,2598,Avaria,Baixa,1326.2,4.7
245,2604,Sinistro,Média,2072.56,12.7
246,2612,Avaria,Média,4169.27,12.9
247,2629,Avaria,Média,2477.08,23.1
248,2631,Sinistro,Média,3106.77,6.1
249,2633,Avaria,Média,3464.38,9.8
250,2637,Atraso por Manutenção,Alta,15798.34,45.4
251,2662,Avaria,Baixa,587.95,2.3
252,2663,Avaria,Baixa,849.46,4.2
253,2666,Avaria,Alta,22384.51,54.0
254,2688,Atraso por Manutenção,Alta,14872.69,81.3
255,2703,Avaria,Média,5546.98,9.3
256,2707,Atraso por Manutenção,Alta,18951.19,30.5
257,2710,Atraso por Manutenção,Baixa,274.47,4.7
258,2714,Sinistro,Média,3501.15,13.9
259,2717,Atraso por Manutenção,Baixa,1000.39,1.7
260,2729,Atraso por Manutenção,Baixa,499.53,4.6
261,2733,Avaria,Baixa,1358.23,3.2
262,2736,Avaria,Alta,7479.9,84.8
263,2737,Avaria,Média,2601.26,12.1
264,2741,Avaria,Baixa,643.13,2.7
265,2743,Avaria,Média,3003.48,18.1
266,2759,Avaria,Média,3802.29,12.7
267,2832,Avaria,Alta,13612.72,65.4
268,2850,Sinistro,Alta,19509.77,73.0
269,2856,Avaria,Alta,21568.51,44.9
270,2864,Avaria,Baixa,1083.61,4.0
271,2865,Avaria,Baixa,1278.91,1.6
272,2869,Avaria,Média,4066.03,13.1
273,2875,Avaria,Baixa,1295.08,4.0
274,2887,Avaria,Média,5173.56,14.8
275,2889,Avaria,Baixa,1337.8,5.9
276,2891,Avaria,Média,2657.3,19.9
277,2892,Avaria,Baixa,1230.7,4.0
278,2909,Atraso por Manutenção,Baixa,1129.59,2.7
279,2931,Atraso por Manutenção,Baixa,995.33,2.5
280,2934,Avaria,Baixa,1479.73,2.5
281,2937,Avaria,Baixa,1323.76,2.4
282,2943,Atraso por Manutenção,Alta,16495.95,35.9
283,2944,Atraso por Manutenção,Baixa,1381.34,6.0
284,2961,Avaria,Média,2694.65,15.8
285,3015,Avaria,Baixa,450.47,1.1
286,3018,Avaria,Média,2208.32,8.5
287,3022,Atraso por Manutenção,Baixa,271.02,2.5
288,3027,Atraso por Manutenção,Baixa,335.94,1.7
289,3028,Avaria,Alta,6805.74,94.3
290,3030,Atraso por Manutenção,Média,4911.35,23.1
291,3042,Sinistro,Média,2763.85,6.6
292,3061,Avaria,Média,4764.64,16.1
293,3068,Avaria,Média,4994.05,21.8
294,3083,Avaria,Baixa,1334.45,5.5
295,3085,Atraso por Manutenção,Baixa,1158.88,2.0
296,3105,Avaria,Média,1978.08,22.5
297,3113,Avaria,Baixa,1336.68,5.9
298,3136,Avaria,Baixa,868.51,2.3
299,3138,Sinistro,Baixa,1265.82,1.7
300,3141,Sinistro,Média,3868.36,20.6
301,3150,Sinistro,Baixa,559.55,5.2
302,3166,Atraso por Manutenção,Baixa,980.58,4.1
303,3172,Avaria,Baixa,1277.8,3.5
304,3191,Avaria,Baixa,587.54,2.9
305,3207,Atraso por Manutenção,Baixa,1382.11,5.3
306,3212,Sinistro,Média,3726.02,6.4
307,3214,Avaria,Média,4866.07,13.3
308,3218,Avaria,Média,1856.67,15.2
309,3222,Avaria,Média,2389.71,20.3
310,3223,Avaria,Baixa,638.93,1.7
311,3254,Avaria,Média,4377.39,9.7
312,3271,Avaria,Baixa,278.29,2.7
313,3274,Avaria,Alta,11765.26,30.3
314,3278,Sinistro,Alta,11334.68,81.0
315,3282,Sinistro,Baixa,352.4,5.2
316,3289,Avaria,Média,2405.42,18.2
317,3326,Avaria,Alta,12432.68,40.3
318,3336,Atraso por Manutenção,Média,2252.2,15.3
319,3350,Avaria,Média,5694.18,7.2
320,3352,Atraso por Manutenção,Alta,10796.41,66.6
321,3366,Sinistro,Baixa,384.53,5.1
322,3370,Atraso por Manutenção,Baixa,1475.18,2.7
323,3372,Avaria,Alta,22507.26,79.3
324,3383,Avaria,Média,2595.53,6.4
325,3442,Atraso por Manutenção,Baixa,1195.54,1.9
326,3452,Atraso por Manutenção,Média,2592.67,8.4
327,3456,Atraso por Manutenção,Baixa,1283.44,1.9
328,3459,Avaria,Alta,7064.07,72.3
329,3490,Avaria,Baixa,456.91,4.6
330,3497,Avaria,Alta,7022.37,48.4
331,3502,Atraso por Manutenção,Baixa,505.81,5.9
332,3508,Avaria,Baixa,1120.48,5.7
333,3527,Atraso por Manutenção,Alta,14423.27,86.8
334,3551,Sinistro,Baixa,222.07,2.9
335,3561,Avaria,Média,3474.73,7.8
336,3572,Atraso por Manutenção,Baixa,1388.54,3.6
337,3578,Atraso por Manutenção,Baixa,1106.08,5.3
338,3579,Atraso por Manutenção,Alta,8604.88,53.5
339,3583,Avaria,Média,4372.53,21.3
340,3585,Atraso por Manutenção,Baixa,921.99,3.2
341,3610,Avaria,Média,5066.05,9.2
342,3614,Atraso por Manutenção,Baixa,249.12,2.2
343,3615,Atraso por Manutenção,Média,5020.97,17.5
344,3669,Atraso por Manutenção,Baixa,347.81,2.6
345,3671,Avaria,Baixa,529.06,3.4
346,3672,Atraso por Manutenção,Baixa,520.96,2.8
347,3677,Avaria,Baixa,965.06,3.6
348,3716,Atraso por Manutenção,Baixa,395.28,2.6
349,3738,Atraso por Manutenção,Alta,11134.18,64.9
350,3749,Avaria,Média,3098.19,15.4
351,3765,Avaria,Alta,15538.03,93.1
352,3774,Avaria,Alta,9664.84,88.2
353,3784,Sinistro,Alta,14811.96,58.5
354,3794,Atraso por Manutenção,Baixa,1128.17,3.3
355,3829,Avaria,Alta,7415.45,30.3
356,3851,Avaria,Alta,8034.93,74.0
357,3884,Avaria,Baixa,559.64,4.7
358,3889,Avaria,Média,5501.77,11.9
359,3894,Avaria,Média,2766.33,20.6
360,3909,Atraso por Manutenção,Baixa,248.02,2.6
361,3921,Sinistro,Baixa,990.04,3.0
362,3941,Avaria,Baixa,754.44,1.8
363,3945,Avaria,Baixa,1316.94,2.3
364,3963,Avaria,Alta,13490.43,54.4
365,3965,Sinistro,Alta,10179.83,90.9
366,3982,Atraso por Manutenção,Baixa,989.12,5.8
367,3992,Avaria,Alta,20602.13,68.2
368,3995,Atraso por Manutenção,Alta,6991.48,54.0
369,4012,Atraso por Manutenção,Baixa,474.09,1.9
370,4032,Avaria,Baixa,1173.14,4.2
371,4040,Avaria,Baixa,750.89,2.4
372,4046,Atraso por Manutenção,Baixa,585.69,4.8
373,4052,Atraso por Manutenção,Média,4663.81,8.0
374,4053,Avaria,Média,3367.68,10.3
375,4060,Sinistro,Média,2330.95,20.6
376,4064,Avaria,Baixa,706.59,4.6
377,4073,Avaria,Baixa,1038.97,4.9
378,4074,Avaria,Baixa,514.95,5.7
379,4075,Avaria,Média,4044.17,15.5
380,4081,Atraso por Manutenção,Média,4735.8,17.5
381,4094,Avaria,Média,2382.01,11.7
382,4102,Atraso por Manutenção,Média,1953.17,19.3
383,4110,Atraso por Manutenção,Média,5311.32,13.1
384,4126,Avaria,Baixa,641.77,3.4
385,4136,Sinistro,Baixa,1369.83,3.0
386,4159,Avaria,Baixa,229.91,1.8
387,4163,Atraso por Manutenção,Baixa,540.87,5.0
388,4172,Avaria,Baixa,574.11,1.6
389,4175,Atraso por Manutenção,Média,1939.41,11.9
390,4176,Avaria,Média,1683.81,9.3
391,4183,Atraso por Manutenção,Baixa,359.79,4.8
392,4187,Atraso por Manutenção,Alta,24826.33,54.0
393,4201,Avaria,Baixa,280.49,4.9
394,4217,Avaria,Média,3314.65,23.8
395,4232,Avaria,Média,2632.94,18.9
396,4257,Avaria,Baixa,1027.99,1.7
397,4274,Atraso por Manutenção,Média,4862.46,16.9
398,4282,Avaria,Média,5369.92,23.2
399,4283,Avaria,Baixa,913.84,5.3
400,4284,Atraso por Manutenção,Média,2869.74,9.3
401,4315,Sinistro,Baixa,439.22,1.7
402,4352,Avaria,Média,2263.11,10.0
403,4376,Avaria,Média,3441.34,14.3
404,4377,Atraso por Manutenção,Alta,14599.6,94.1
405,4383,Sinistro,Baixa,954.36,4.8
406,4403,Avaria,Alta,12519.41,83.1
407,4407,Avaria,Baixa,1025.9,1.5
408,4412,Atraso por Manutenção,Baixa,1300.13,3.6
409,4419,Atraso por Manutenção,Alta,17573.41,88.1
410,4429,Avaria,Média,4596.87,19.0
411,4440,Avaria,Média,4008.46,11.3
412,4442,Avaria,Baixa,298.03,4.6
413,4446,Avaria,Média,1641.86,19.8
414,4453,Avaria,Baixa,384.2,1.7
415,4458,Atraso por Manutenção,Média,2498.27,15.2
416,4467,Avaria,Baixa,1246.45,1.5
417,4484,Sinistro,Média,4633.9,16.6
418,4495,Sinistro,Baixa,1417.04,1.3
419,4505,Sinistro,Baixa,329.08,4.8
420,4508,Sinistro,Baixa,412.06,3.6
421,4511,Atraso por Manutenção,Baixa,959.39,5.6
422,4524,Avaria,Média,5067.17,6.8
423,4525,Sinistro,Baixa,739.02,5.3
424,4531,Atraso por Manutenção,Baixa,693.75,3.6
425,4532,Atraso por Manutenção,Baixa,1094.86,3.4
426,4536,Sinistro,Alta,23751.99,32.1
427,4564,Atraso por Manutenção,Média,1617.45,22.6
428,4571,Atraso por Manutenção,Baixa,321.83,1.4
429,4573,Avaria,Baixa,470.32,4.6
430,4575,Avaria,Baixa,1474.1,1.7
431,4579,Avaria,Baixa,847.85,4.2
432,4585,Atraso por Manutenção,Alta,8316.76,79.7
433,4593,Sinistro,Baixa,726.08,1.4
434,4615,Atraso por Manutenção,Baixa,1369.47,2.0
435,4622,Avaria,Baixa,966.09,4.2
436,4626,Avaria,Alta,6279.38,31.7
437,4629,Sinistro,Baixa,293.06,5.6
438,4636,Avaria,Baixa,608.6,5.7
439,4651,Avaria,Média,5706.58,22.7
440,4657,Atraso por Manutenção,Baixa,826.58,1.4
441,4664,Avaria,Média,2358.86,11.9
442,4680,Avaria,Média,2032.48,18.6
443,4689,Atraso por Manutenção,Baixa,221.06,4.4
444,4692,Atraso por Manutenção,Média,2589.62,21.9
445,4698,Atraso por Manutenção,Média,5888.63,8.2
446,4702,Avaria,Baixa,1299.48,5.6
447,4711,Avaria,Média,5228.29,6.0
448,4717,Sinistro,Média,4423.9,15.8
449,4722,Avaria,Alta,21899.62,92.0
450,4726,Atraso por Manutenção,Baixa,1306.87,2.9
451,4729,Avaria,Alta,16406.19,67.1
452,4732,Sinistro,Média,4381.97,7.8
453,4733,Atraso por Manutenção,Alta,23817.1,41.3
454,4749,Atraso por Manutenção,Baixa,1215.29,3.1
455,4759,Avaria,Média,5597.99,6.5
456,4767,Avaria,Média,4301.1,9.4
457,4770,Avaria,Alta,7479.43,30.1
458,4771,Avaria,Média,5609.47,10.2
459,4794,Sinistro,Baixa,1370.69,3.5
460,4805,Avaria,Baixa,1371.83,2.5
461,4812,Avaria,Baixa,256.47,3.4
462,4822,Atraso por Manutenção,Baixa,581.05,5.7
463,4824,Avaria,Média,4336.46,21.3
464,4832,Avaria,Média,5665.36,23.9
465,4851,Avaria,Média,2794.93,10.9
466,4854,Avaria,Média,3894.2,15.4
467,4862,Avaria,Média,2243.72,11.3
468,4877,Avaria,Média,4743.68,20.2
469,4888,Sinistro,Baixa,211.27,5.2
470,4892,Atraso por Manutenção,Baixa,1070.94,5.3
471,4894,Sinistro,Alta,21941.62,65.2
472,4896,Atraso por Manutenção,Alta,10710.39,65.8
473,4901,Atraso por Manutenção,Alta,20468.93,49.1
474,4920,Avaria,Baixa,1376.57,1.2
475,4924,Atraso por Manutenção,Baixa,982.69,5.3
476,4926,Avaria,Baixa,317.46,4.1
477,4928,Avaria,Baixa,862.66,4.8
478,4945,Avaria,Baixa,816.66,1.1
479,4971,Avaria,Baixa,656.78,2.4
480,4979,Avaria,Baixa,472.12,2.0
481,4987,Avaria,Alta,7200.87,39.4
482,5003,Atraso por Manutenção,Média,4104.11,20.5
483,5015,Atraso por Manutenção,Baixa,1407.34,2.1
484,5039,Avaria,Média,5229.56,21.9
485,5063,Atraso por Manutenção,Média,4918.14,16.3
486,5072,Atraso por Manutenção,Média,5813.67,16.6
487,5079,Atraso por Manutenção,Baixa,735.88,5.3
488,5095,Avaria,Baixa,940.74,3.8
489,5102,Atraso por Manutenção,Média,4640.39,14.2
490,5105,Atraso por Manutenção,Baixa,1426.49,4.8
491,5107,Avaria,Média,5879.7,20.5
492,5112,Atraso por Manutenção,Baixa,863.54,3.8
493,5117,Avaria,Baixa,276.28,4.2
494,5130,Atraso por Manutenção,Média,3497.38,19.3
495,5160,Avaria,Alta,24628.44,41.2
496,5164,Atraso por Manutenção,Baixa,202.31,4.4
497,5181,Atraso por Manutenção,Baixa,1408.25,5.4
498,5188,Atraso por Manutenção,Baixa,469.41,5.8
499,5190,Atraso por Manutenção,Baixa,448.75,3.5
500,5195,Avaria,Alta,23315.31,78.7
501,5196,Sinistro,Alta,15799.83,94.4
502,5202,Avaria,Baixa,1261.35,3.8
503,5212,Avaria,Média,5458.46,14.6
504,5230,Sinistro,Média,4169.07,16.0
505,5234,Avaria,Baixa,1050.81,2.9
506,5255,Avaria,Alta,14143.4,80.3
507,5276,Atraso por Manutenção,Baixa,396.53,1.4
508,5292,Avaria,Baixa,273.23,3.6
509,5297,Avaria,Baixa,1249.07,3.7
510,5303,Atraso por Manutenção,Alta,8894.43,28.2
511,5306,Atraso por Manutenção,Média,2094.89,20.9
512,5307,Atraso por Manutenção,Baixa,346.16,4.3
513,5320,Avaria,Baixa,1186.7,1.1
514,5322,Avaria,Baixa,307.49,4.3
515,5328,Atraso por Manutenção,Média,4147.97,12.8
516,5343,Avaria,Baixa,895.63,5.2
517,5355,Avaria,Média,5299.08,6.4
518,5367,Avaria,Baixa,1073.44,3.8
519,5379,Avaria,Baixa,799.59,1.2
520,5380,Avaria,Média,4570.22,7.3
521,5383,Avaria,Alta,18939.88,45.8
522,5390,Avaria,Média,4672.44,6.9
523,5405,Sinistro,Baixa,1043.64,5.8
524,5420,Avaria,Alta,7902.98,73.6
525,5440,Avaria,Baixa,885.6,4.6
526,5442,Sinistro,Baixa,407.26,2.4
527,5444,Atraso por Manutenção,Baixa,1214.4,3.3
528,5457,Atraso por Manutenção,Baixa,715.46,4.0
529,5466,Atraso por Manutenção,Alta,20704.97,40.0
530,5471,Atraso por Manutenção,Baixa,1112.47,5.7
531,5494,Sinistro,Baixa,896.49,5.8
532,5498,Avaria,Média,2034.05,17.7
533,5501,Atraso por Manutenção,Baixa,1183.31,2.4
534,5515,Atraso por Manutenção,Média,5279.47,11.9
535,5527,Atraso por Manutenção,Alta,20021.62,31.2
536,5539,Atraso por Manutenção,Média,4446.44,9.8
537,5547,Avaria,Média,1706.16,23.3
538,5551,Avaria,Baixa,485.35,1.2
539,5586,Avaria,Alta,14093.28,64.3
540,5599,Atraso por Manutenção,Média,1739.16,11.1
541,5600,Avaria,Baixa,1287.76,2.5
542,5620,Sinistro,Média,2115.91,11.4
543,5621,Atraso por Manutenção,Baixa,924.26,5.3
544,5631,Avaria,Baixa,340.67,1.5
545,5649,Avaria,Baixa,598.95,4.0
546,5655,Avaria,Baixa,1474.72,4.5
547,5662,Atraso por Manutenção,Baixa,1220.1,5.1
548,5670,Atraso por Manutenção,Média,3676.97,15.5
549,5676,Avaria,Baixa,712.06,1.9
550,5679,Atraso por Manutenção,Baixa,537.39,3.4
551,5699,Avaria,Baixa,1430.78,4.2
552,5710,Atraso por Manutenção,Média,3965.29,11.5
553,5733,Avaria,Baixa,623.25,5.5
554,5744,Atraso por Manutenção,Alta,21142.37,58.4
555,5745,Sinistro,Média,4197.61,22.7
556,5796,Avaria,Média,2471.16,20.2
557,5810,Atraso por Manutenção,Alta,14643.41,44.1
558,5817,Atraso por Manutenção,Média,4677.05,8.7
559,5819,Avaria,Baixa,1140.44,3.8
560,5852,Avaria,Média,2482.84,23.2
