viagem_id,rota_id,veiculo_id,transportadora_id,data_saida,data_chegada_prevista,data_chegada_real,distancia_km,lead_time_horas,tempo_estimado_horas,on_time,custo_frete,custo_por_km,carga_kg,teve_ocorrencia
73,4,50,2,2025-01-02 06:00:00,2025-01-02 21:30:00,2025-01-02 21:20:48.981675747,900,15.3,15.5,True,3311.88,3.68,6421,False
74,1,51,2,2025-01-02 17:00:00,2025-01-03 00:24:00,2025-01-02 23:51:22.099721182,430,6.9,7.4,True,1485.94,3.46,25106,False
75,3,43,2,2025-01-02 01:00:00,2025-01-03 17:48:00,2025-01-03 14:19:46.509903405,1960,37.3,40.8,True,6702.85,3.42,6104,True
76,6,58,2,2025-01-02 01:00:00,2025-01-03 11:24:00,2025-01-03 22:40:12.591483830,1650,45.7,34.4,False,5554.15,3.37,23720,False
77,9,41,2,2025-01-02 23:00:00,2025-01-04 06:12:00,2025-01-04 04:02:16.545707677,1500,29.0,31.2,True,4428.34,2.95,23647,False
78,1,64,2,2025-01-02 01:00:00,2025-01-02 08:24:00,2025-01-02 08:44:32.198261151,430,7.7,7.4,True,1486.86,3.46,15900,False
79,7,82,3,2025-01-02 13:00:00,2025-01-03 03:42:00,2025-01-03 03:44:02.139937967,850,14.7,14.7,True,3979.73,4.68,21784,False
80,8,82,3,2025-01-02 04:00:00,2025-01-03 01:36:00,2025-01-03 01:39:29.981897263,1250,21.7,21.6,True,6261.92,5.01,19438,False
81,6,72,3,2025-01-02 19:00:00,2025-01-04 05:24:00,2025-01-04 05:27:20.558314619,1650,34.5,34.4,True,10119.75,6.13,25415,False
82,7,82,3,2025-01-02 06:00:00,2025-01-02 20:42:00,2025-01-02 22:13:39.039928067,850,16.2,14.7,True,4253.94,5.0,19064,False
83,7,82,3,2025-01-02 02:00:00,2025-01-02 16:42:00,2025-01-02 17:22:18.231924346,850,15.4,14.7,True,4158.75,4.89,15481,False
84,12,71,3,2025-01-02 20:00:00,2025-01-05 16:48:00,2025-01-05 19:58:52.766098716,3300,72.0,68.8,True,14100.5,4.27,6415,False
85,1,83,3,2025-01-02 11:00:00,2025-01-02 18:24:00,2025-01-02 18:44:29.790186726,430,7.7,7.4,True,2133.12,4.96,20143,False
86,1,93,3,2025-01-02 12:00:00,2025-01-02 19:24:00,2025-01-02 19:25:36.752433532,430,7.4,7.4,True,2086.94,4.85,26671,False
87,6,71,3,2025-01-02 23:00:00,2025-01-04 09:24:00,2025-01-04 10:22:04.924015108,1650,35.4,34.4,True,9163.19,5.55,6354,False
88,2,88,3,2025-01-02 18:00:00,2025-01-03 01:06:00,2025-01-03 00:57:27.694588380,410,7.0,7.1,True,1889.11,4.61,25350,True
89,1,72,3,2025-01-02 11:00:00,2025-01-02 18:24:00,2025-01-02 18:00:23.397529384,430,7.0,7.4,True,2187.8,5.09,21737,False
90,8,88,3,2025-01-02 07:00:00,2025-01-03 04:36:00,2025-01-03 05:37:05.891564253,1250,22.6,21.6,True,6030.0,4.82,16999,False
91,4,92,3,2025-01-02 09:00:00,2025-01-03 00:30:00,2025-01-03 00:34:53.980093821,900,15.6,15.5,True,4623.77,5.14,25187,False
92,5,116,4,2025-01-02 03:00:00,2025-01-05 03:54:00,2025-01-06 03:29:43.108796835,3500,96.5,72.9,False,13574.0,3.88,5787,False
93,8,96,4,2025-01-02 17:00:00,2025-01-03 14:36:00,2025-01-03 12:47:35.200021293,1250,19.8,21.6,True,4794.21,3.84,26237,False
94,3,108,4,2025-01-02 03:00:00,2025-01-03 19:48:00,2025-01-04 05:26:54.493819830,1960,50.4,40.8,False,7229.53,3.69,22407,False
95,3,111,4,2025-01-02 22:00:00,2025-01-04 14:48:00,2025-01-04 07:17:01.289346511,1960,33.3,40.8,True,7234.19,3.69,14135,True
96,12,124,4,2025-01-02 09:00:00,2025-01-05 05:48:00,2025-01-05 06:11:00.514159636,3300,69.2,68.8,True,11327.9,3.43,5480,False
97,12,122,4,2025-01-02 10:00:00,2025-01-05 06:48:00,2025-01-05 23:20:29.190662761,3300,85.3,68.8,False,12664.44,3.84,22499,False
98,12,107,4,2025-01-02 09:00:00,2025-01-05 05:48:00,2025-01-04 23:11:08.287770367,3300,62.2,68.8,True,13318.25,4.04,6632,False
99,10,105,4,2025-01-02 09:00:00,2025-01-04 01:36:00,2025-01-03 17:59:46.462693563,1950,33.0,40.6,True,8029.01,4.12,4851,False
100,3,113,4,2025-01-02 13:00:00,2025-01-04 05:48:00,2025-01-04 10:55:57.293682205,1960,45.9,40.8,True,7667.25,3.91,4174,False
101,10,103,4,2025-01-02 06:00:00,2025-01-03 22:36:00,2025-01-04 02:37:36.737842617,1950,44.6,40.6,True,6718.78,3.45,20281,False
102,10,122,4,2025-01-02 15:00:00,2025-01-04 07:36:00,2025-01-04 03:00:37.591313574,1950,36.0,40.6,True,8599.2,4.41,24261,False
103,3,99,4,2025-01-02 07:00:00,2025-01-03 23:48:00,2025-01-04 00:27:46.142675796,1960,41.5,40.8,True,7589.16,3.87,17630,False
104,1,125,4,2025-01-02 06:00:00,2025-01-02 13:24:00,2025-01-02 14:15:35.541099054,430,8.3,7.4,True,1579.8,3.67,7745,False
105,8,112,4,2025-01-02 16:00:00,2025-01-03 13:36:00,2025-01-03 12:04:05.479840925,1250,20.1,21.6,True,4693.84,3.76,16583,False
106,4,133,5,2025-01-02 23:00:00,2025-01-03 14:30:00,2025-01-03 15:17:30.968788185,900,16.3,15.5,True,3815.86,4.24,21996,False
107,9,133,5,2025-01-02 01:00:00,2025-01-03 08:12:00,2025-01-03 03:57:46.593038898,1500,27.0,31.2,True,6672.01,4.45,33126,False
108,9,146,5,2025-01-02 07:00:00,2025-01-03 14:12:00,2025-01-03 14:00:21.393129656,1500,31.0,31.2,True,7340.74,4.89,6355,True
109,8,130,5,2025-01-02 00:00:00,2025-01-02 21:36:00,2025-01-03 01:27:46.265025184,1250,25.5,21.6,False,5473.31,4.38,7561,False
110,12,130,5,2025-01-02 02:00:00,2025-01-04 22:48:00,2025-01-04 22:01:57.256029926,3300,68.0,68.8,True,15077.0,4.57,7706,False
111,1,142,5,2025-01-02 03:00:00,2025-01-02 10:24:00,2025-01-02 09:06:21.886265370,430,6.1,7.4,True,1933.75,4.5,4437,False
112,3,149,5,2025-01-02 08:00:00,2025-01-04 00:48:00,2025-01-04 04:44:58.379744127,1960,44.7,40.8,True,9602.34,4.9,19283,False
113,3,146,5,2025-01-02 13:00:00,2025-01-04 05:48:00,2025-01-04 12:12:23.688984856,1960,47.2,40.8,False,9198.88,4.69,4465,False
114,3,141,5,2025-01-02 22:00:00,2025-01-04 14:48:00,2025-01-04 16:26:44.329707609,1960,42.4,40.8,True,9347.94,4.77,6933,False
115,9,132,5,2025-01-02 21:00:00,2025-01-04 04:12:00,2025-01-04 04:46:17.069416332,1500,31.8,31.2,True,6966.5,4.64,4490,True
116,12,150,5,2025-01-02 09:00:00,2025-01-05 05:48:00,2025-01-06 06:35:17.227182048,3300,93.6,68.8,False,17635.83,5.34,26771,False
117,8,149,5,2025-01-02 04:00:00,2025-01-03 01:36:00,2025-01-03 03:04:44.847591141,1250,23.1,21.6,True,6461.97,5.17,24535,False
118,8,138,5,2025-01-02 07:00:00,2025-01-03 04:36:00,2025-01-03 09:48:14.511662879,1250,26.8,21.6,False,5836.13,4.67,36863,False
119,6,1,1,2025-01-03 23:00:00,2025-01-05 09:24:00,2025-01-05 11:16:02.319610126,1650,36.3,34.4,True,6640.78,4.02,18897,False
120,1,9,1,2025-01-03 10:00:00,2025-01-03 17:24:00,2025-01-03 17:39:02.848329967,430,7.7,7.4,True,1815.88,4.22,6658,False
121,11,4,1,2025-01-03 14:00:00,2025-01-06 23:12:00,2025-01-07 00:18:40.986128936,3900,82.3,81.2,True,17938.19,4.6,35019,False
122,6,39,1,2025-01-03 00:00:00,2025-01-04 10:24:00,2025-01-04 08:59:17.035499650,1650,33.0,34.4,True,7628.58,4.62,19096,False
123,2,2,1,2025-01-03 12:00:00,2025-01-03 19:06:00,2025-01-03 19:40:26.862008008,410,7.7,7.1,True,1886.22,4.6,18886,False
124,5,3,1,2025-01-03 06:00:00,2025-01-06 06:54:00,2025-01-06 05:54:10.453379344,3500,71.9,72.9,True,15117.52,4.32,6141,True
125,5,28,1,2025-01-03 06:00:00,2025-01-06 06:54:00,2025-01-06 11:17:53.145757188,3500,77.3,72.9,True,17370.56,4.96,32205,False
126,3,13,1,2025-01-03 14:00:00,2025-01-05 06:48:00,2025-01-05 12:21:46.646743438,1960,46.4,40.8,True,9351.84,4.77,21097,False
127,1,27,1,2025-01-03 09:00:00,2025-01-03 16:24:00,2025-01-03 16:56:08.523748279,430,7.9,7.4,True,1912.42,4.45,5977,False
128,1,37,1,2025-01-03 02:00:00,2025-01-03 09:24:00,2025-01-03 09:33:01.530562771,430,7.6,7.4,True,1954.42,4.55,4269,False
129,11,18,1,2025-01-03 19:00:00,2025-01-07 04:12:00,2025-01-07 10:54:02.441809536,3900,87.9,81.2,True,16080.33,4.12,22202,False
130,12,34,1,2025-01-03 21:00:00,2025-01-06 17:48:00,2025-01-06 15:45:07.538828008,3300,66.8,68.8,True,12122.18,3.67,17195,False
131,6,23,1,2025-01-03 06:00:00,2025-01-04 16:24:00,2025-01-04 19:22:17.492287349,1650,37.4,34.4,True,6851.43,4.15,7814,False
132,2,1,1,2025-01-03 03:00:00,2025-01-03 10:06:00,2025-01-03 10:31:18.616136834,410,7.5,7.1,True,1867.8,4.56,23349,True
133,3,38,1,2025-01-03 21:00:00,2025-01-05 13:48:00,2025-01-05 13:47:24.618898176,1960,40.8,40.8,True,9562.88,4.88,31457,False
134,8,2,1,2025-01-03 09:00:00,2025-01-04 06:36:00,2025-01-04 06:16:54.090660199,1250,21.3,21.6,True,5089.48,4.07,19780,False
135,11,39,1,2025-01-03 03:00:00,2025-01-06 12:12:00,2025-01-06 12:50:08.194064233,3900,81.8,81.2,True,14010.17,3.59,24990,False
136,1,24,1,2025-01-03 00:00:00,2025-01-03 07:24:00,2025-01-03 07:15:45.469232575,430,7.3,7.4,True,1702.64,3.96,6280,False
137,3,29,1,2025-01-03 14:00:00,2025-01-05 06:48:00,2025-01-05 03:32:21.927436703,1960,37.5,40.8,True,7529.93,3.84,20950,False
138,9,64,2,2025-01-03 03:00:00,2025-01-04 10:12:00,2025-01-04 15:47:54.259313124,1500,36.8,31.2,False,4540.37,3.03,19789,False
139,7,63,2,2025-01-03 09:00:00,2025-01-03 23:42:00,2025-01-04 02:08:01.151329380,850,17.1,14.7,False,3296.04,3.88,19835,False
140,2,47,2,2025-01-03 17:00:00,2025-01-04 00:06:00,2025-01-04 01:17:34.107147169,410,8.3,7.1,False,1366.56,3.33,6147,False
141,12,49,2,2025-01-03 09:00:00,2025-01-06 05:48:00,2025-01-05 11:41:47.968404489,3300,50.7,68.8,True,10953.77,3.32,33395,False
142,2,57,2,2025-01-03 12:00:00,2025-01-03 19:06:00,2025-01-03 19:16:47.487408505,410,7.3,7.1,True,1240.11,3.02,36894,False
143,5,58,2,2025-01-03 22:00:00,2025-01-06 22:54:00,2025-01-06 14:25:14.677214470,3500,64.4,72.9,True,11068.58,3.16,26450,False
144,7,68,2,2025-01-03 22:00:00,2025-01-04 12:42:00,2025-01-04 12:01:27.856155961,850,14.0,14.7,True,3094.55,3.64,25833,True
145,8,84,3,2025-01-03 07:00:00,2025-01-04 04:36:00,2025-01-04 05:45:59.697649913,1250,22.8,21.6,True,6965.51,5.57,7691,False
146,1,84,3,2025-01-03 02:00:00,2025-01-03 09:24:00,2025-01-03 09:01:54.399442693,430,7.0,7.4,True,2451.03,5.7,5602,False
147,8,92,3,2025-01-03 06:00:00,2025-01-04 03:36:00,2025-01-04 03:46:19.151726681,1250,21.8,21.6,True,6459.72,5.17,24369,False
148,1,93,3,2025-01-03 10:00:00,2025-01-03 17:24:00,2025-01-03 16:51:52.494791316,430,6.9,7.4,True,2192.97,5.1,21421,False
149,7,92,3,2025-01-03 17:00:00,2025-01-04 07:42:00,2025-01-04 07:23:39.432665947,850,14.4,14.7,True,4112.72,4.84,23343,False
150,1,95,3,2025-01-03 11:00:00,2025-01-03 18:24:00,2025-01-03 19:09:48.593196588,430,8.2,7.4,True,2598.12,6.04,13954,False
151,2,84,3,2025-01-03 18:00:00,2025-01-04 01:06:00,2025-01-04 01:27:28.830856402,410,7.5,7.1,True,2127.98,5.19,6980,False
152,9,119,4,2025-01-03 07:00:00,2025-01-04 14:12:00,2025-01-04 18:32:56.172819988,1500,35.5,31.2,True,5663.66,3.78,34991,False
153,9,102,4,2025-01-03 04:00:00,2025-01-04 11:12:00,2025-01-04 09:24:44.670436719,1500,29.4,31.2,True,5765.41,3.84,20016,False
154,10,98,4,2025-01-03 18:00:00,2025-01-05 10:36:00,2025-01-05 14:21:53.549509032,1950,44.4,40.6,True,7641.0,3.92,7617,False
155,4,98,4,2025-01-03 21:00:00,2025-01-04 12:30:00,2025-01-04 11:15:29.930237005,900,14.3,15.5,True,3886.47,4.32,5652,False
156,2,114,4,2025-01-03 13:00:00,2025-01-03 20:06:00,2025-01-03 19:52:41.535041475,410,6.9,7.1,True,1619.49,3.95,20252,False
157,12,122,4,2025-01-03 14:00:00,2025-01-06 10:48:00,2025-01-05 19:28:41.012193002,3300,53.5,68.8,True,12117.36,3.67,23790,False
158,8,137,5,2025-01-03 23:00:00,2025-01-04 20:36:00,2025-01-04 17:58:27.353292579,1250,19.0,21.6,True,5399.36,4.32,13926,False
159,4,143,5,2025-01-03 20:00:00,2025-01-04 11:30:00,2025-01-04 11:18:30.376163273,900,15.3,15.5,True,4489.77,4.99,18089,False
160,8,128,5,2025-01-03 01:00:00,2025-01-03 22:36:00,2025-01-04 00:47:57.432938524,1250,23.8,21.6,True,6033.86,4.83,17579,False
161,11,129,5,2025-01-03 21:00:00,2025-01-07 06:12:00,2025-01-07 00:30:48.280169240,3900,75.5,81.2,True,17851.79,4.58,5114,False
162,4,126,5,2025-01-03 09:00:00,2025-01-04 00:30:00,2025-01-03 22:19:48.824420496,900,13.3,15.5,True,3858.13,4.29,7455,False
163,12,150,5,2025-01-03 11:00:00,2025-01-06 07:48:00,2025-01-06 21:05:23.754082955,3300,82.1,68.8,False,14584.36,4.42,22184,False
164,12,131,5,2025-01-03 21:00:00,2025-01-06 17:48:00,2025-01-07 02:27:20.667899846,3300,77.5,68.8,True,15235.43,4.62,18550,False
165,5,142,5,2025-01-03 22:00:00,2025-01-06 22:54:00,2025-01-07 07:45:22.685843111,3500,81.8,72.9,True,15335.71,4.38,4503,True
166,1,130,5,2025-01-03 18:00:00,2025-01-04 01:24:00,2025-01-04 01:43:36.435787905,430,7.7,7.4,True,1680.87,3.91,5368,True
167,10,146,5,2025-01-03 23:00:00,2025-01-05 15:36:00,2025-01-05 17:03:08.129931405,1950,42.1,40.6,True,8845.04,4.54,7182,False
168,11,34,1,2025-01-04 07:00:00,2025-01-07 16:12:00,2025-01-07 16:25:59.735079131,3900,81.4,81.2,True,14097.92,3.61,24635,False
169,11,37,1,2025-01-04 21:00:00,2025-01-08 06:12:00,2025-01-08 13:03:12.274356945,3900,88.1,81.2,True,16274.74,4.17,7041,False
170,7,6,1,2025-01-04 11:00:00,2025-01-05 01:42:00,2025-01-05 01:50:56.890332788,850,14.8,14.7,True,3743.04,4.4,20344,False
171,6,8,1,2025-01-04 14:00:00,2025-01-06 00:24:00,2025-01-05 22:10:10.057315096,1650,32.2,34.4,True,6452.74,3.91,7319,True
172,6,10,1,2025-01-04 17:00:00,2025-01-06 03:24:00,2025-01-06 05:34:51.234204464,1650,36.6,34.4,True,7585.42,4.6,19403,False
173,1,19,1,2025-01-04 00:00:00,2025-01-04 07:24:00,2025-01-04 07:52:43.162243216,430,7.9,7.4,True,1584.81,3.69,26303,False
174,2,25,1,2025-01-04 14:00:00,2025-01-04 21:06:00,2025-01-04 21:39:56.509647077,410,7.7,7.1,True,1672.38,4.08,21776,False
175,7,31,1,2025-01-04 11:00:00,2025-01-05 01:42:00,2025-01-05 02:15:39.174615593,850,15.3,14.7,True,3834.67,4.51,19999,False
176,4,21,1,2025-01-04 05:00:00,2025-01-04 20:30:00,2025-01-04 20:15:33.126519164,900,15.3,15.5,True,3641.93,4.05,17696,False
177,5,21,1,2025-01-04 20:00:00,2025-01-07 20:54:00,2025-01-07 20:36:05.482693095,3500,72.6,72.9,True,13365.44,3.82,19385,False
